Unnamed: 0,driving exp,since,age,gender,education,income,SoC,distance,charging fee,charge,ch
1143,5-10 years,2017,above 60,male,master's degree,average,10-30%,30,above normal,0.12695108,0
1144,5-10 years,2017,above 60,male,master's degree,average,31-50%,0,below normal,0.8613964,1
1145,5-10 years,2017,above 60,male,master's degree,average,31-50%,0,normal,0.78224957,1
1146,5-10 years,2017,above 60,male,master's degree,average,31-50%,0,above normal,0.1065991,0
1147,5-10 years,2017,above 60,male,master's degree,average,31-50%,15,below normal,0.5134794,0
1148,5-10 years,2017,above 60,male,master's degree,average,31-50%,15,normal,0.37890923,0
1149,5-10 years,2017,above 60,male,master's degree,average,31-50%,15,above normal,0.040855076,0
1150,5-10 years,2017,above 60,male,master's degree,average,31-50%,30,below normal,0.1519903,0
1151,5-10 years,2017,above 60,male,master's degree,average,31-50%,30,normal,0.093877114,0
1152,5-10 years,2017,above 60,male,master's degree,average,31-50%,30,above normal,0.014978312,0
1153,5-10 years,2017,above 60,male,master's degree,average,51-70%,0,below normal,0.41377264,0
1154,5-10 years,2017,above 60,male,master's degree,average,51-70%,0,normal,0.28976986,0
1155,5-10 years,2017,above 60,male,master's degree,average,51-70%,0,above normal,0.012323697,0
1156,5-10 years,2017,above 60,male,master's degree,average,51-70%,15,below normal,0.1070344,0
1157,5-10 years,2017,above 60,male,master's degree,average,51-70%,15,normal,0.064796664,0
1158,5-10 years,2017,above 60,male,master's degree,average,51-70%,15,above normal,0.004434571,0
1159,5-10 years,2017,above 60,male,master's degree,average,51-70%,30,below normal,0.027841303,0
1160,5-10 years,2017,above 60,male,master's degree,average,51-70%,30,normal,0.011785927,0
1161,5-10 years,2017,above 60,male,master's degree,average,51-70%,30,above normal,0.001715957,0
1162,3-5 years,2019,above 60,female,master's degree,below average,10-30%,0,below normal,0.9997644,1
1163,3-5 years,2019,above 60,female,master's degree,below average,10-30%,0,normal,0.9968079,1
1164,3-5 years,2019,above 60,female,master's degree,below average,10-30%,0,above normal,0.92876047,1
1165,3-5 years,2019,above 60,female,master's degree,below average,10-30%,15,below normal,0.9993326,1
1166,3-5 years,2019,above 60,female,master's degree,below average,10-30%,15,normal,0.99568164,1
1167,3-5 years,2019,above 60,female,master's degree,below average,10-30%,15,above normal,0.9192164,1
1168,3-5 years,2019,above 60,female,master's degree,below average,10-30%,30,below normal,0.9966732,1
1169,3-5 years,2019,above 60,female,master's degree,below average,10-30%,30,normal,0.99087757,1
1170,3-5 years,2019,above 60,female,master's degree,below average,10-30%,30,above normal,0.8286262,1
1171,3-5 years,2019,above 60,female,master's degree,below average,31-50%,0,below normal,0.99841857,1
1172,3-5 years,2019,above 60,female,master's degree,below average,31-50%,0,normal,0.9766558,1
1173,3-5 years,2019,above 60,female,master's degree,below average,31-50%,0,above normal,0.41097438,0
1174,3-5 years,2019,above 60,female,master's degree,below average,31-50%,15,below normal,0.99635965,1
1175,3-5 years,2019,above 60,female,master's degree,below average,31-50%,15,normal,0.9731258,1
1176,3-5 years,2019,above 60,female,master's degree,below average,31-50%,15,above normal,0.34699103,0
1177,3-5 years,2019,above 60,female,master's degree,below average,31-50%,30,below normal,0.9844599,1
1178,3-5 years,2019,above 60,female,master's degree,below average,31-50%,30,normal,0.94238245,0
1179,3-5 years,2019,above 60,female,master's degree,below average,31-50%,30,above normal,0.25018513,0
1180,3-5 years,2019,above 60,female,master's degree,below average,51-70%,0,below normal,0.9888916,1
1181,3-5 years,2019,above 60,female,master's degree,below average,51-70%,0,normal,0.6758166,0
1182,3-5 years,2019,above 60,female,master's degree,below average,51-70%,0,above normal,0.02968369,0
1183,3-5 years,2019,above 60,female,master's degree,below average,51-70%,15,below normal,0.97146726,1
1184,3-5 years,2019,above 60,female,master's degree,below average,51-70%,15,normal,0.61354977,0
1185,3-5 years,2019,above 60,female,master's degree,below average,51-70%,15,above normal,0.022767805,0
1186,3-5 years,2019,above 60,female,master's degree,below average,51-70%,30,below normal,0.88321126,0
1187,3-5 years,2019,above 60,female,master's degree,below average,51-70%,30,normal,0.5302223,0
1188,3-5 years,2019,above 60,female,master's degree,below average,51-70%,30,above normal,0.019069225,0
1189,5-10 years,2019,18-30,female,below high school diploma,below average,10-30%,0,below normal,0.99119496,1
1190,5-10 years,2019,18-30,female,below high school diploma,below average,10-30%,0,normal,0.6906661,0
1191,5-10 years,2019,18-30,female,below high school diploma,below average,10-30%,0,above normal,0.20584923,0
1192,5-10 years,2019,18-30,female,below high school diploma,below average,10-30%,15,below normal,0.9824943,1
1193,5-10 years,2019,18-30,female,below high school diploma,below average,10-30%,15,normal,0.45309627,0
1194,5-10 years,2019,18-30,female,below high school diploma,below average,10-30%,15,above normal,0.06636094,0
1195,5-10 years,2019,18-30,female,below high school diploma,below average,10-30%,30,below normal,0.909118,1
1196,5-10 years,2019,18-30,female,below high school diploma,below average,10-30%,30,normal,0.2368787,0
1197,5-10 years,2019,18-30,female,below high school diploma,below average,10-30%,30,above normal,0.024798386,0
1198,5-10 years,2019,18-30,female,below high school diploma,below average,31-50%,0,below normal,0.9561283,1
1199,5-10 years,2019,18-30,female,below high school diploma,below average,31-50%,0,normal,0.27591446,0
1200,5-10 years,2019,18-30,female,below high school diploma,below average,31-50%,0,above normal,0.012348423,0
1201,5-10 years,2019,18-30,female,below high school diploma,below average,31-50%,15,below normal,0.9230064,1
1202,5-10 years,2019,18-30,female,below high school diploma,below average,31-50%,15,normal,0.17560007,0
1203,5-10 years,2019,18-30,female,below high school diploma,below average,31-50%,15,above normal,0.007140175,0
1204,5-10 years,2019,18-30,female,below high school diploma,below average,31-50%,30,below normal,0.75562793,1
1205,5-10 years,2019,18-30,female,below high school diploma,below average,31-50%,30,normal,0.08316307,0
1206,5-10 years,2019,18-30,female,below high school diploma,below average,31-50%,30,above normal,0.003126119,0
1207,5-10 years,2019,18-30,female,below high school diploma,below average,51-70%,0,below normal,0.72700787,1
1208,5-10 years,2019,18-30,female,below high school diploma,below average,51-70%,0,normal,0.04931303,0
1209,5-10 years,2019,18-30,female,below high school diploma,below average,51-70%,0,above normal,0.001184901,0
1210,5-10 years,2019,18-30,female,below high school diploma,below average,51-70%,15,below normal,0.6518118,0
1211,5-10 years,2019,18-30,female,below high school diploma,below average,51-70%,15,normal,0.041888334,0
1212,5-10 years,2019,18-30,female,below high school diploma,below average,51-70%,15,above normal,0.001406589,0
1213,5-10 years,2019,18-30,female,below high school diploma,below average,51-70%,30,below normal,0.3638092,0
1214,5-10 years,2019,18-30,female,below high school diploma,below average,51-70%,30,normal,0.025821602,0
1215,5-10 years,2019,18-30,female,below high school diploma,below average,51-70%,30,above normal,0.001335498,0
1216,1-3 years,2019,31-40,male,bachelor's degree,below average,10-30%,0,below normal,0.99622464,1
1217,1-3 years,2019,31-40,male,bachelor's degree,below average,10-30%,0,normal,0.92586046,1
1218,1-3 years,2019,31-40,male,bachelor's degree,below average,10-30%,0,above normal,0.11609797,0
1219,1-3 years,2019,31-40,male,bachelor's degree,below average,10-30%,15,below normal,0.9813726,1
1220,1-3 years,2019,31-40,male,bachelor's degree,below average,10-30%,15,normal,0.79582393,1
1221,1-3 years,2019,31-40,male,bachelor's degree,below average,10-30%,15,above normal,0.039381098,0
1222,1-3 years,2019,31-40,male,bachelor's degree,below average,10-30%,30,below normal,0.90897584,1
1223,1-3 years,2019,31-40,male,bachelor's degree,below average,10-30%,30,normal,0.5612748,0
1224,1-3 years,2019,31-40,male,bachelor's degree,below average,10-30%,30,above normal,0.012633732,0
1225,1-3 years,2019,31-40,male,bachelor's degree,below average,31-50%,0,below normal,0.97208226,1
1226,1-3 years,2019,31-40,male,bachelor's degree,below average,31-50%,0,normal,0.53734565,0
1227,1-3 years,2019,31-40,male,bachelor's degree,below average,31-50%,0,above normal,0.015315628,0
1228,1-3 years,2019,31-40,male,bachelor's degree,below average,31-50%,15,below normal,0.83154297,1
1229,1-3 years,2019,31-40,male,bachelor's degree,below average,31-50%,15,normal,0.26517937,0
1230,1-3 years,2019,31-40,male,bachelor's degree,below average,31-50%,15,above normal,0.004831159,0
1231,1-3 years,2019,31-40,male,bachelor's degree,below average,31-50%,30,below normal,0.43072614,0
1232,1-3 years,2019,31-40,male,bachelor's degree,below average,31-50%,30,normal,0.09739899,0
1233,1-3 years,2019,31-40,male,bachelor's degree,below average,31-50%,30,above normal,0.002432514,0
1234,1-3 years,2019,31-40,male,bachelor's degree,below average,51-70%,0,below normal,0.71324486,1
1235,1-3 years,2019,31-40,male,bachelor's degree,below average,51-70%,0,normal,0.078095414,0
1236,1-3 years,2019,31-40,male,bachelor's degree,below average,51-70%,0,above normal,0.002275149,0
1237,1-3 years,2019,31-40,male,bachelor's degree,below average,51-70%,15,below normal,0.28453258,0
1238,1-3 years,2019,31-40,male,bachelor's degree,below average,51-70%,15,normal,0.034764644,0
1239,1-3 years,2019,31-40,male,bachelor's degree,below average,51-70%,15,above normal,0.001793066,0
1240,1-3 years,2019,31-40,male,bachelor's degree,below average,51-70%,30,below normal,0.0781739,0
1241,1-3 years,2019,31-40,male,bachelor's degree,below average,51-70%,30,normal,0.014300642,0
1242,1-3 years,2019,31-40,male,bachelor's degree,below average,51-70%,30,above normal,0.001124769,0
1243,3-5 years,2016,41-50,female,bachelor's degree,average,10-30%,0,below normal,0.99355364,1
1244,3-5 years,2016,41-50,female,bachelor's degree,average,10-30%,0,normal,0.98931247,1
1245,3-5 years,2016,41-50,female,bachelor's degree,average,10-30%,0,above normal,0.8435647,1
1246,3-5 years,2016,41-50,female,bachelor's degree,average,10-30%,15,below normal,0.95992917,1
1247,3-5 years,2016,41-50,female,bachelor's degree,average,10-30%,15,normal,0.9440305,1
1248,3-5 years,2016,41-50,female,bachelor's degree,average,10-30%,15,above normal,0.64765763,0
1249,3-5 years,2016,41-50,female,bachelor's degree,average,10-30%,30,below normal,0.7024318,1
1250,3-5 years,2016,41-50,female,bachelor's degree,average,10-30%,30,normal,0.6390193,0
1251,3-5 years,2016,41-50,female,bachelor's degree,average,10-30%,30,above normal,0.322131,0
1252,3-5 years,2016,41-50,female,bachelor's degree,average,31-50%,0,below normal,0.9537678,1
1253,3-5 years,2016,41-50,female,bachelor's degree,average,31-50%,0,normal,0.9063667,1
1254,3-5 years,2016,41-50,female,bachelor's degree,average,31-50%,0,above normal,0.18403265,0
1255,3-5 years,2016,41-50,female,bachelor's degree,average,31-50%,15,below normal,0.7779461,1
1256,3-5 years,2016,41-50,female,bachelor's degree,average,31-50%,15,normal,0.6694337,0
1257,3-5 years,2016,41-50,female,bachelor's degree,average,31-50%,15,above normal,0.07451546,0
1258,3-5 years,2016,41-50,female,bachelor's degree,average,31-50%,30,below normal,0.27699563,0
1259,3-5 years,2016,41-50,female,bachelor's degree,average,31-50%,30,normal,0.22318359,0
1260,3-5 years,2016,41-50,female,bachelor's degree,average,31-50%,30,above normal,0.027939925,0
1261,3-5 years,2016,41-50,female,bachelor's degree,average,51-70%,0,below normal,0.700864,1
1262,3-5 years,2016,41-50,female,bachelor's degree,average,51-70%,0,normal,0.50304735,0
1263,3-5 years,2016,41-50,female,bachelor's degree,average,51-70%,0,above normal,0.023041865,0
1264,3-5 years,2016,41-50,female,bachelor's degree,average,51-70%,15,below normal,0.28463402,0
1265,3-5 years,2016,41-50,female,bachelor's degree,average,51-70%,15,normal,0.18698794,0
1266,3-5 years,2016,41-50,female,bachelor's degree,average,51-70%,15,above normal,0.0083494,0
1267,3-5 years,2016,41-50,female,bachelor's degree,average,51-70%,30,below normal,0.07278495,0
1268,3-5 years,2016,41-50,female,bachelor's degree,average,51-70%,30,normal,0.037589714,0
1269,3-5 years,2016,41-50,female,bachelor's degree,average,51-70%,30,above normal,0.00325493,0
1270,1-3 years,2015,50-60,male,doctoral degree,above average,10-30%,0,below normal,0.97945696,1
1271,1-3 years,2015,50-60,male,doctoral degree,above average,10-30%,0,normal,0.9736854,1
1272,1-3 years,2015,50-60,male,doctoral degree,above average,10-30%,0,above normal,0.94165134,1
1273,1-3 years,2015,50-60,male,doctoral degree,above average,10-30%,15,below normal,0.92230123,1
1274,1-3 years,2015,50-60,male,doctoral degree,above average,10-30%,15,normal,0.9064265,1
1275,1-3 years,2015,50-60,male,doctoral degree,above average,10-30%,15,above normal,0.8078032,1
1276,1-3 years,2015,50-60,male,doctoral degree,above average,10-30%,30,below normal,0.7218258,1
1277,1-3 years,2015,50-60,male,doctoral degree,above average,10-30%,30,normal,0.60924065,0
1278,1-3 years,2015,50-60,male,doctoral degree,above average,10-30%,30,above normal,0.44707164,0
1279,1-3 years,2015,50-60,male,doctoral degree,above average,31-50%,0,below normal,0.8176593,1
1280,1-3 years,2015,50-60,male,doctoral degree,above average,31-50%,0,normal,0.6418998,0
1281,1-3 years,2015,50-60,male,doctoral degree,above average,31-50%,0,above normal,0.417431,0
1282,1-3 years,2015,50-60,male,doctoral degree,above average,31-50%,15,below normal,0.53871423,0
1283,1-3 years,2015,50-60,male,doctoral degree,above average,31-50%,15,normal,0.31825963,0
1284,1-3 years,2015,50-60,male,doctoral degree,above average,31-50%,15,above normal,0.15726352,0
1285,1-3 years,2015,50-60,male,doctoral degree,above average,31-50%,30,below normal,0.22245823,0
1286,1-3 years,2015,50-60,male,doctoral degree,above average,31-50%,30,normal,0.092060715,0
1287,1-3 years,2015,50-60,male,doctoral degree,above average,31-50%,30,above normal,0.046347383,0
1288,1-3 years,2015,50-60,male,doctoral degree,above average,51-70%,0,below normal,0.1660397,0
1289,1-3 years,2015,50-60,male,doctoral degree,above average,51-70%,0,normal,0.081909195,0
1290,1-3 years,2015,50-60,male,doctoral degree,above average,51-70%,0,above normal,0.045784134,0
1291,1-3 years,2015,50-60,male,doctoral degree,above average,51-70%,15,below normal,0.07511882,0
1292,1-3 years,2015,50-60,male,doctoral degree,above average,51-70%,15,normal,0.030335281,0
1293,1-3 years,2015,50-60,male,doctoral degree,above average,51-70%,15,above normal,0.014778756,0
1294,1-3 years,2015,50-60,male,doctoral degree,above average,51-70%,30,below normal,0.038277593,0
1295,1-3 years,2015,50-60,male,doctoral degree,above average,51-70%,30,normal,0.01599726,0
1296,1-3 years,2015,50-60,male,doctoral degree,above average,51-70%,30,above normal,0.00622302,0
1297,3-5 years,2017,above 60,female,master's degree,average,10-30%,0,below normal,0.9989372,1
1298,3-5 years,2017,above 60,female,master's degree,average,10-30%,0,normal,0.99867636,1
1299,3-5 years,2017,above 60,female,master's degree,average,10-30%,0,above normal,0.9764589,1
1300,3-5 years,2017,above 60,female,master's degree,average,10-30%,15,below normal,0.99466264,1
1301,3-5 years,2017,above 60,female,master's degree,average,10-30%,15,normal,0.9934356,1
1302,3-5 years,2017,above 60,female,master's degree,average,10-30%,15,above normal,0.9250103,1
1303,3-5 years,2017,above 60,female,master's degree,average,10-30%,30,below normal,0.9620898,1
1304,3-5 years,2017,above 60,female,master's degree,average,10-30%,30,normal,0.9617146,1
1305,3-5 years,2017,above 60,female,master's degree,average,10-30%,30,above normal,0.78578883,1
1306,3-5 years,2017,above 60,female,master's degree,average,31-50%,0,below normal,0.99261826,1
1307,3-5 years,2017,above 60,female,master's degree,average,31-50%,0,normal,0.9877884,1
1308,3-5 years,2017,above 60,female,master's degree,average,31-50%,0,above normal,0.6373857,0
1309,3-5 years,2017,above 60,female,master's degree,average,31-50%,15,below normal,0.96381253,1
1310,3-5 years,2017,above 60,female,master's degree,average,31-50%,15,normal,0.9196344,1
1311,3-5 years,2017,above 60,female,master's degree,average,31-50%,15,above normal,0.3432836,0
1312,3-5 years,2017,above 60,female,master's degree,average,31-50%,30,below normal,0.76636976,1
1313,3-5 years,2017,above 60,female,master's degree,average,31-50%,30,normal,0.6181499,0
1314,3-5 years,2017,above 60,female,master's degree,average,31-50%,30,above normal,0.1345371,0
1315,3-5 years,2017,above 60,female,master's degree,average,51-70%,0,below normal,0.89653116,1
1316,3-5 years,2017,above 60,female,master's degree,average,51-70%,0,normal,0.78825986,1
1317,3-5 years,2017,above 60,female,master's degree,average,51-70%,0,above normal,0.06932437,0
1318,3-5 years,2017,above 60,female,master's degree,average,51-70%,15,below normal,0.5507188,0
1319,3-5 years,2017,above 60,female,master's degree,average,51-70%,15,normal,0.3449712,0
1320,3-5 years,2017,above 60,female,master's degree,average,51-70%,15,above normal,0.02284796,0
1321,3-5 years,2017,above 60,female,master's degree,average,51-70%,30,below normal,0.21250145,0
1322,3-5 years,2017,above 60,female,master's degree,average,51-70%,30,normal,0.082511306,0
1323,3-5 years,2017,above 60,female,master's degree,average,51-70%,30,above normal,0.009361722,0
1324,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,0,below normal,0.96422064,1
1325,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,0,normal,0.93306553,1
1326,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,0,above normal,0.7320589,1
1327,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,15,below normal,0.83261955,1
1328,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,15,normal,0.7002725,1
1329,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,15,above normal,0.43871325,0
1330,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,30,below normal,0.6173303,0
1331,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,30,normal,0.3765151,0
1332,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,30,above normal,0.19129372,0
1333,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,0,below normal,0.6519968,0
1334,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,0,normal,0.5659441,0
1335,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,0,above normal,0.32776454,0
1336,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,15,below normal,0.3492346,0
1337,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,15,normal,0.23013069,0
1338,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,15,above normal,0.15887743,0
1339,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,30,below normal,0.2319784,1
1340,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,30,normal,0.11071281,0
1341,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,30,above normal,0.055363193,0
1342,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,0,below normal,0.22488242,0
1343,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,0,normal,0.16798955,0
1344,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,0,above normal,0.06500228,0
1345,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,15,below normal,0.12230633,0
1346,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,15,normal,0.054316714,0
1347,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,15,above normal,0.032255556,0
1348,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,30,below normal,0.07272685,1
1349,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,30,normal,0.03131492,0
1350,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,30,above normal,0.013149284,0
1351,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,0,below normal,0.96112746,1
1352,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,0,normal,0.9434471,1
1353,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,0,above normal,0.23564689,1
1354,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,15,below normal,0.8386218,1
1355,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,15,normal,0.76655847,1
1356,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,15,above normal,0.096879944,0
1357,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,30,below normal,0.6172113,0
1358,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,30,normal,0.50467414,0
1359,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,30,above normal,0.0647146,0
1360,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,0,below normal,0.80051243,1
1361,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,0,normal,0.6984942,0
1362,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,0,above normal,0.051213417,0
1363,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,15,below normal,0.47834763,0
1364,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,15,normal,0.36686373,0
1365,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,15,above normal,0.025058147,0
1366,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,30,below normal,0.22149992,0
1367,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,30,normal,0.15239005,0
1368,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,30,above normal,0.016487882,0
1369,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,0,below normal,0.35460058,0
1370,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,0,normal,0.19501714,0
1371,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,0,above normal,0.005612928,0
1372,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,15,below normal,0.13927343,0
1373,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,15,normal,0.09276189,0
1374,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,15,above normal,0.003375432,0
1375,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,30,below normal,0.060623467,0
1376,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,30,normal,0.030749423,0
1377,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,30,above normal,0.002716422,0
1378,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,0,below normal,0.9925332,1
1379,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,0,normal,0.9896401,1
1380,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,0,above normal,0.9539685,1
1381,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,15,below normal,0.97920185,1
1382,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,15,normal,0.96095216,1
1383,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,15,above normal,0.8861923,1
1384,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,30,below normal,0.9347841,1
1385,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,30,normal,0.8568228,1
1386,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,30,above normal,0.66654706,0
1387,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,0,below normal,0.94439614,1
1388,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,0,normal,0.9023232,1
1389,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,0,above normal,0.62289965,0
1390,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,15,below normal,0.8141866,1
1391,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,15,normal,0.6872351,0
1392,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,15,above normal,0.41021365,0
1393,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,30,below normal,0.5267457,0
1394,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,30,normal,0.3432468,0
1395,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,30,above normal,0.17776072,0
1396,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,0,below normal,0.60993314,0
1397,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,0,normal,0.50579816,0
1398,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,0,above normal,0.21422909,0
1399,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,15,below normal,0.3230551,0
1400,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,15,normal,0.22900037,0
1401,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,15,above normal,0.17910533,0
1402,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,30,below normal,0.1773221,0
1403,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,30,normal,0.08089376,0
1404,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,30,above normal,0.078374505,0
1405,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,0,below normal,0.99139553,1
1406,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,0,normal,0.9366391,1
1407,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,0,above normal,0.4648854,0
1408,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,15,below normal,0.98260695,1
1409,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,15,normal,0.9295225,1
1410,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,15,above normal,0.3874081,0
1411,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,30,below normal,0.96515745,0
1412,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,30,normal,0.9216734,1
1413,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,30,above normal,0.31523606,0
1414,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,0,below normal,0.94285065,1
1415,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,0,normal,0.52914894,0
1416,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,0,above normal,0.018832227,0
1417,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,15,below normal,0.88998115,1
1418,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,15,normal,0.461172,0
1419,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,15,above normal,0.019322857,0
1420,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,30,below normal,0.76648116,1
1421,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,30,normal,0.39460894,0
1422,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,30,above normal,0.021106994,0
1423,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,0,below normal,0.51753414,0
1424,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,0,normal,0.063231185,0
1425,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,0,above normal,0.003291264,0
1426,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,15,below normal,0.37286192,0
1427,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,15,normal,0.060824502,0
1428,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,15,above normal,0.004084874,0
1429,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,30,below normal,0.24785562,0
1430,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,30,normal,0.066182,0
1431,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,30,above normal,0.005199723,0
1432,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,0,below normal,0.99692243,1
1433,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,0,normal,0.95478106,1
1434,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,0,above normal,0.24972647,0
1435,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,15,below normal,0.98863786,1
1436,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,15,normal,0.8982424,1
1437,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,15,above normal,0.12188715,0
1438,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,30,below normal,0.9623896,1
1439,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,30,normal,0.8097618,1
1440,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,30,above normal,0.06273404,0
1441,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,0,below normal,0.96415216,1
1442,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,0,normal,0.45661363,0
1443,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,0,above normal,0.016170949,0
1444,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,15,below normal,0.86052126,1
1445,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,15,normal,0.3185043,0
