number,driving exp,since,age,gender,education,income,SoC,distance,charging fee,charge
1313,3-5 years,2017,above 60,female,master's degree,average,31-50%,long,normal,0
1314,3-5 years,2017,above 60,female,master's degree,average,31-50%,long,above normal,0
1315,3-5 years,2017,above 60,female,master's degree,average,51-70%,short,below normal,1
1316,3-5 years,2017,above 60,female,master's degree,average,51-70%,short,normal,1
1317,3-5 years,2017,above 60,female,master's degree,average,51-70%,short,above normal,0
1318,3-5 years,2017,above 60,female,master's degree,average,51-70%,medium,below normal,0
1319,3-5 years,2017,above 60,female,master's degree,average,51-70%,medium,normal,0
1320,3-5 years,2017,above 60,female,master's degree,average,51-70%,medium,above normal,0
1321,3-5 years,2017,above 60,female,master's degree,average,51-70%,long,below normal,0
1322,3-5 years,2017,above 60,female,master's degree,average,51-70%,long,normal,0
1323,3-5 years,2017,above 60,female,master's degree,average,51-70%,long,above normal,0
1324,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,short,below normal,1
1325,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,short,normal,1
1326,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,short,above normal,1
1327,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,medium,below normal,1
1328,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,medium,normal,1
1329,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,medium,above normal,0
1330,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,long,below normal,0
1331,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,long,normal,0
1332,1-3 years,2019,18-30,male,doctoral degree,above average,10-30%,long,above normal,0
1333,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,short,below normal,1
1334,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,short,normal,1
1335,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,short,above normal,1
1336,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,medium,below normal,0
1337,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,medium,normal,0
1338,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,medium,above normal,0
1339,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,long,below normal,1
1340,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,long,normal,0
1341,1-3 years,2019,18-30,male,doctoral degree,above average,31-50%,long,above normal,0
1342,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,short,below normal,0
1343,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,short,normal,0
1344,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,short,above normal,0
1345,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,medium,below normal,0
1346,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,medium,normal,0
1347,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,medium,above normal,0
1348,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,long,below normal,1
1349,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,long,normal,0
1350,1-3 years,2019,18-30,male,doctoral degree,above average,51-70%,long,above normal,1
1351,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,short,below normal,1
1352,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,short,normal,1
1353,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,short,above normal,1
1354,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,medium,below normal,1
1355,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,medium,normal,1
1356,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,medium,above normal,0
1357,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,long,below normal,0
1358,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,long,normal,0
1359,3-5 years,2018,31-40,male,bachelor's degree,average,10-30%,long,above normal,0
1360,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,short,below normal,1
1361,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,short,normal,0
1362,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,short,above normal,0
1363,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,medium,below normal,0
1364,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,medium,normal,0
1365,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,medium,above normal,0
1366,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,long,below normal,0
1367,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,long,normal,0
1368,3-5 years,2018,31-40,male,bachelor's degree,average,31-50%,long,above normal,0
1369,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,short,below normal,0
1370,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,short,normal,0
1371,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,short,above normal,0
1372,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,medium,below normal,0
1373,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,medium,normal,0
1374,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,medium,above normal,0
1375,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,long,below normal,0
1376,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,long,normal,0
1377,3-5 years,2018,31-40,male,bachelor's degree,average,51-70%,long,above normal,0
1378,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,short,below normal,1
1379,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,short,normal,1
1380,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,short,above normal,1
1381,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,medium,below normal,1
1382,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,medium,normal,1
1383,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,medium,above normal,1
1384,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,long,below normal,1
1385,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,long,normal,1
1386,1-3 years,2021,41-50,male,high school diploma,above average,10-30%,long,above normal,0
1387,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,short,below normal,1
1388,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,short,normal,1
1389,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,short,above normal,1
1390,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,medium,below normal,1
1391,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,medium,normal,0
1392,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,medium,above normal,0
1393,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,long,below normal,0
1394,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,long,normal,0
1395,1-3 years,2021,41-50,male,high school diploma,above average,31-50%,long,above normal,0
1396,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,short,below normal,0
1397,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,short,normal,0
1398,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,short,above normal,0
1399,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,medium,below normal,0
1400,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,medium,normal,0
1401,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,medium,above normal,0
1402,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,long,below normal,0
1403,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,long,normal,0
1404,1-3 years,2021,41-50,male,high school diploma,above average,51-70%,long,above normal,0
1405,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,short,below normal,1
1406,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,short,normal,1
1407,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,short,above normal,0
1408,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,medium,below normal,1
1409,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,medium,normal,1
1410,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,medium,above normal,0
1411,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,long,below normal,0
1412,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,long,normal,1
1413,1-3 years,2017,above 60,male,high school diploma,below average,10-30%,long,above normal,0
1414,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,short,below normal,1
1415,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,short,normal,0
1416,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,short,above normal,0
1417,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,medium,below normal,1
1418,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,medium,normal,0
1419,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,medium,above normal,0
1420,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,long,below normal,1
1421,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,long,normal,0
1422,1-3 years,2017,above 60,male,high school diploma,below average,31-50%,long,above normal,0
1423,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,short,below normal,0
1424,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,short,normal,0
1425,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,short,above normal,0
1426,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,medium,below normal,0
1427,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,medium,normal,0
1428,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,medium,above normal,0
1429,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,long,below normal,0
1430,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,long,normal,0
1431,1-3 years,2017,above 60,male,high school diploma,below average,51-70%,long,above normal,0
1432,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,short,below normal,1
1433,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,short,normal,1
1434,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,short,above normal,0
1435,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,medium,below normal,1
1436,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,medium,normal,0
1437,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,medium,above normal,0
1438,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,long,below normal,0
1439,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,long,normal,1
1440,5-10 years,2018,above 60,male,bachelor's degree,below average,10-30%,long,above normal,0
1441,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,short,below normal,1
1442,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,short,normal,0
1443,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,short,above normal,0
1444,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,medium,below normal,0
1445,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,medium,normal,0
1446,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,medium,above normal,0
1447,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,long,below normal,0
1448,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,long,normal,0
1449,5-10 years,2018,above 60,male,bachelor's degree,below average,31-50%,long,above normal,0
1450,5-10 years,2018,above 60,male,bachelor's degree,below average,51-70%,short,below normal,0
1451,5-10 years,2018,above 60,male,bachelor's degree,below average,51-70%,short,normal,0
1452,5-10 years,2018,above 60,male,bachelor's degree,below average,51-70%,short,above normal,0
1453,5-10 years,2018,above 60,male,bachelor's degree,below average,51-70%,medium,below normal,0
1454,5-10 years,2018,above 60,male,bachelor's degree,below average,51-70%,medium,normal,0
1455,5-10 years,2018,above 60,male,bachelor's degree,below average,51-70%,medium,above normal,0
1456,5-10 years,2018,above 60,male,bachelor's degree,below average,51-70%,long,below normal,0
1457,5-10 years,2018,above 60,male,bachelor's degree,below average,51-70%,long,normal,0
1458,5-10 years,2018,above 60,male,bachelor's degree,below average,51-70%,long,above normal,0
1459,less than a year,2019,41-50,male,bachelor's degree,average,10-30%,short,below normal,0
1460,less than a year,2019,41-50,male,bachelor's degree,average,10-30%,short,normal,0
1461,less than a year,2019,41-50,male,bachelor's degree,average,10-30%,short,above normal,0
1462,less than a year,2019,41-50,male,bachelor's degree,average,10-30%,medium,below normal,1
1463,less than a year,2019,41-50,male,bachelor's degree,average,10-30%,medium,normal,1
1464,less than a year,2019,41-50,male,bachelor's degree,average,10-30%,medium,above normal,1
1465,less than a year,2019,41-50,male,bachelor's degree,average,10-30%,long,below normal,1
1466,less than a year,2019,41-50,male,bachelor's degree,average,10-30%,long,normal,1
1467,less than a year,2019,41-50,male,bachelor's degree,average,10-30%,long,above normal,1
1468,less than a year,2019,41-50,male,bachelor's degree,average,31-50%,short,below normal,1
1469,less than a year,2019,41-50,male,bachelor's degree,average,31-50%,short,normal,1
1470,less than a year,2019,41-50,male,bachelor's degree,average,31-50%,short,above normal,0
1471,less than a year,2019,41-50,male,bachelor's degree,average,31-50%,medium,below normal,1
1472,less than a year,2019,41-50,male,bachelor's degree,average,31-50%,medium,normal,1
1473,less than a year,2019,41-50,male,bachelor's degree,average,31-50%,medium,above normal,0
1474,less than a year,2019,41-50,male,bachelor's degree,average,31-50%,long,below normal,1
1475,less than a year,2019,41-50,male,bachelor's degree,average,31-50%,long,normal,0
1476,less than a year,2019,41-50,male,bachelor's degree,average,31-50%,long,above normal,0
1477,less than a year,2019,41-50,male,bachelor's degree,average,51-70%,short,below normal,1
1478,less than a year,2019,41-50,male,bachelor's degree,average,51-70%,short,normal,0
1479,less than a year,2019,41-50,male,bachelor's degree,average,51-70%,short,above normal,0
1480,less than a year,2019,41-50,male,bachelor's degree,average,51-70%,medium,below normal,0
1481,less than a year,2019,41-50,male,bachelor's degree,average,51-70%,medium,normal,0
1482,less than a year,2019,41-50,male,bachelor's degree,average,51-70%,medium,above normal,0
1483,less than a year,2019,41-50,male,bachelor's degree,average,51-70%,long,below normal,0
1484,less than a year,2019,41-50,male,bachelor's degree,average,51-70%,long,normal,0
1485,less than a year,2019,41-50,male,bachelor's degree,average,51-70%,long,above normal,0
1486,1-3 years,2018,31-40,male,doctoral degree,average,10-30%,short,below normal,0
1487,1-3 years,2018,31-40,male,doctoral degree,average,10-30%,short,normal,1
1488,1-3 years,2018,31-40,male,doctoral degree,average,10-30%,short,above normal,0
1489,1-3 years,2018,31-40,male,doctoral degree,average,10-30%,medium,below normal,1
1490,1-3 years,2018,31-40,male,doctoral degree,average,10-30%,medium,normal,1
1491,1-3 years,2018,31-40,male,doctoral degree,average,10-30%,medium,above normal,0
1492,1-3 years,2018,31-40,male,doctoral degree,average,10-30%,long,below normal,0
1493,1-3 years,2018,31-40,male,doctoral degree,average,10-30%,long,normal,1
1494,1-3 years,2018,31-40,male,doctoral degree,average,10-30%,long,above normal,0
1495,1-3 years,2018,31-40,male,doctoral degree,average,31-50%,short,below normal,1
1496,1-3 years,2018,31-40,male,doctoral degree,average,31-50%,short,normal,1
1497,1-3 years,2018,31-40,male,doctoral degree,average,31-50%,short,above normal,0
1498,1-3 years,2018,31-40,male,doctoral degree,average,31-50%,medium,below normal,0
1499,1-3 years,2018,31-40,male,doctoral degree,average,31-50%,medium,normal,0
1500,1-3 years,2018,31-40,male,doctoral degree,average,31-50%,medium,above normal,0
1501,1-3 years,2018,31-40,male,doctoral degree,average,31-50%,long,below normal,0
1502,1-3 years,2018,31-40,male,doctoral degree,average,31-50%,long,normal,0
1503,1-3 years,2018,31-40,male,doctoral degree,average,31-50%,long,above normal,0
1504,1-3 years,2018,31-40,male,doctoral degree,average,51-70%,short,below normal,0
1505,1-3 years,2018,31-40,male,doctoral degree,average,51-70%,short,normal,0
1506,1-3 years,2018,31-40,male,doctoral degree,average,51-70%,short,above normal,0
1507,1-3 years,2018,31-40,male,doctoral degree,average,51-70%,medium,below normal,0
1508,1-3 years,2018,31-40,male,doctoral degree,average,51-70%,medium,normal,0
1509,1-3 years,2018,31-40,male,doctoral degree,average,51-70%,medium,above normal,0
1510,1-3 years,2018,31-40,male,doctoral degree,average,51-70%,long,below normal,0
1511,1-3 years,2018,31-40,male,doctoral degree,average,51-70%,long,normal,0
1512,1-3 years,2018,31-40,male,doctoral degree,average,51-70%,long,above normal,0
1513,3-5 years,2019,31-40,male,bachelor's degree,average,10-30%,short,below normal,1
1514,3-5 years,2019,31-40,male,bachelor's degree,average,10-30%,short,normal,1
1515,3-5 years,2019,31-40,male,bachelor's degree,average,10-30%,short,above normal,0
1516,3-5 years,2019,31-40,male,bachelor's degree,average,10-30%,medium,below normal,1
1517,3-5 years,2019,31-40,male,bachelor's degree,average,10-30%,medium,normal,1
1518,3-5 years,2019,31-40,male,bachelor's degree,average,10-30%,medium,above normal,0
1519,3-5 years,2019,31-40,male,bachelor's degree,average,10-30%,long,below normal,1
1520,3-5 years,2019,31-40,male,bachelor's degree,average,10-30%,long,normal,0
1521,3-5 years,2019,31-40,male,bachelor's degree,average,10-30%,long,above normal,0
1522,3-5 years,2019,31-40,male,bachelor's degree,average,31-50%,short,below normal,1
1523,3-5 years,2019,31-40,male,bachelor's degree,average,31-50%,short,normal,1
1524,3-5 years,2019,31-40,male,bachelor's degree,average,31-50%,short,above normal,0
1525,3-5 years,2019,31-40,male,bachelor's degree,average,31-50%,medium,below normal,0
1526,3-5 years,2019,31-40,male,bachelor's degree,average,31-50%,medium,normal,0
1527,3-5 years,2019,31-40,male,bachelor's degree,average,31-50%,medium,above normal,1
1528,3-5 years,2019,31-40,male,bachelor's degree,average,31-50%,long,below normal,0
1529,3-5 years,2019,31-40,male,bachelor's degree,average,31-50%,long,normal,0
1530,3-5 years,2019,31-40,male,bachelor's degree,average,31-50%,long,above normal,0
1531,3-5 years,2019,31-40,male,bachelor's degree,average,51-70%,short,below normal,0
1532,3-5 years,2019,31-40,male,bachelor's degree,average,51-70%,short,normal,0
1533,3-5 years,2019,31-40,male,bachelor's degree,average,51-70%,short,above normal,1
1534,3-5 years,2019,31-40,male,bachelor's degree,average,51-70%,medium,below normal,0
1535,3-5 years,2019,31-40,male,bachelor's degree,average,51-70%,medium,normal,0
1536,3-5 years,2019,31-40,male,bachelor's degree,average,51-70%,medium,above normal,0
1537,3-5 years,2019,31-40,male,bachelor's degree,average,51-70%,long,below normal,0
1538,3-5 years,2019,31-40,male,bachelor's degree,average,51-70%,long,normal,0
1539,3-5 years,2019,31-40,male,bachelor's degree,average,51-70%,long,above normal,0
1540,3-5 years,2017,41-50,male,bachelor's degree,above average,10-30%,short,below normal,1
1541,3-5 years,2017,41-50,male,bachelor's degree,above average,10-30%,short,normal,0
1542,3-5 years,2017,41-50,male,bachelor's degree,above average,10-30%,short,above normal,1
1543,3-5 years,2017,41-50,male,bachelor's degree,above average,10-30%,medium,below normal,1
1544,3-5 years,2017,41-50,male,bachelor's degree,above average,10-30%,medium,normal,0
1545,3-5 years,2017,41-50,male,bachelor's degree,above average,10-30%,medium,above normal,0
1546,3-5 years,2017,41-50,male,bachelor's degree,above average,10-30%,long,below normal,0
1547,3-5 years,2017,41-50,male,bachelor's degree,above average,10-30%,long,normal,0
1548,3-5 years,2017,41-50,male,bachelor's degree,above average,10-30%,long,above normal,0
1549,3-5 years,2017,41-50,male,bachelor's degree,above average,31-50%,short,below normal,1
1550,3-5 years,2017,41-50,male,bachelor's degree,above average,31-50%,short,normal,1
1551,3-5 years,2017,41-50,male,bachelor's degree,above average,31-50%,short,above normal,1
1552,3-5 years,2017,41-50,male,bachelor's degree,above average,31-50%,medium,below normal,0
1553,3-5 years,2017,41-50,male,bachelor's degree,above average,31-50%,medium,normal,0
1554,3-5 years,2017,41-50,male,bachelor's degree,above average,31-50%,medium,above normal,0
1555,3-5 years,2017,41-50,male,bachelor's degree,above average,31-50%,long,below normal,0
1556,3-5 years,2017,41-50,male,bachelor's degree,above average,31-50%,long,normal,0
1557,3-5 years,2017,41-50,male,bachelor's degree,above average,31-50%,long,above normal,0
1558,3-5 years,2017,41-50,male,bachelor's degree,above average,51-70%,short,below normal,0
1559,3-5 years,2017,41-50,male,bachelor's degree,above average,51-70%,short,normal,0
1560,3-5 years,2017,41-50,male,bachelor's degree,above average,51-70%,short,above normal,0
1561,3-5 years,2017,41-50,male,bachelor's degree,above average,51-70%,medium,below normal,0
1562,3-5 years,2017,41-50,male,bachelor's degree,above average,51-70%,medium,normal,0
1563,3-5 years,2017,41-50,male,bachelor's degree,above average,51-70%,medium,above normal,0
1564,3-5 years,2017,41-50,male,bachelor's degree,above average,51-70%,long,below normal,0
1565,3-5 years,2017,41-50,male,bachelor's degree,above average,51-70%,long,normal,0
1566,3-5 years,2017,41-50,male,bachelor's degree,above average,51-70%,long,above normal,0
1567,less than a year,2020,above 60,male,below high school diploma,below average,10-30%,short,below normal,1
1568,less than a year,2020,above 60,male,below high school diploma,below average,10-30%,short,normal,1
1569,less than a year,2020,above 60,male,below high school diploma,below average,10-30%,short,above normal,0
1570,less than a year,2020,above 60,male,below high school diploma,below average,10-30%,medium,below normal,1
1571,less than a year,2020,above 60,male,below high school diploma,below average,10-30%,medium,normal,1
1572,less than a year,2020,above 60,male,below high school diploma,below average,10-30%,medium,above normal,0
1573,less than a year,2020,above 60,male,below high school diploma,below average,10-30%,long,below normal,1
1574,less than a year,2020,above 60,male,below high school diploma,below average,10-30%,long,normal,1
1575,less than a year,2020,above 60,male,below high school diploma,below average,10-30%,long,above normal,0
1576,less than a year,2020,above 60,male,below high school diploma,below average,31-50%,short,below normal,0
1577,less than a year,2020,above 60,male,below high school diploma,below average,31-50%,short,normal,0
1578,less than a year,2020,above 60,male,below high school diploma,below average,31-50%,short,above normal,0
1579,less than a year,2020,above 60,male,below high school diploma,below average,31-50%,medium,below normal,1
1580,less than a year,2020,above 60,male,below high school diploma,below average,31-50%,medium,normal,1
1581,less than a year,2020,above 60,male,below high school diploma,below average,31-50%,medium,above normal,0
1582,less than a year,2020,above 60,male,below high school diploma,below average,31-50%,long,below normal,1
1583,less than a year,2020,above 60,male,below high school diploma,below average,31-50%,long,normal,1
1584,less than a year,2020,above 60,male,below high school diploma,below average,31-50%,long,above normal,0
1585,less than a year,2020,above 60,male,below high school diploma,below average,51-70%,short,below normal,1
1586,less than a year,2020,above 60,male,below high school diploma,below average,51-70%,short,normal,0
1587,less than a year,2020,above 60,male,below high school diploma,below average,51-70%,short,above normal,0
1588,less than a year,2020,above 60,male,below high school diploma,below average,51-70%,medium,below normal,1
1589,less than a year,2020,above 60,male,below high school diploma,below average,51-70%,medium,normal,0
1590,less than a year,2020,above 60,male,below high school diploma,below average,51-70%,medium,above normal,0
1591,less than a year,2020,above 60,male,below high school diploma,below average,51-70%,long,below normal,0
1592,less than a year,2020,above 60,male,below high school diploma,below average,51-70%,long,normal,0
1593,less than a year,2020,above 60,male,below high school diploma,below average,51-70%,long,above normal,0
1594,1-3 years,2020,41-50,female,master's degree,below average,10-30%,short,below normal,1
1595,1-3 years,2020,41-50,female,master's degree,below average,10-30%,short,normal,1
1596,1-3 years,2020,41-50,female,master's degree,below average,10-30%,short,above normal,1
1597,1-3 years,2020,41-50,female,master's degree,below average,10-30%,medium,below normal,1
1598,1-3 years,2020,41-50,female,master's degree,below average,10-30%,medium,normal,1
1599,1-3 years,2020,41-50,female,master's degree,below average,10-30%,medium,above normal,1
1600,1-3 years,2020,41-50,female,master's degree,below average,10-30%,long,below normal,1
1601,1-3 years,2020,41-50,female,master's degree,below average,10-30%,long,normal,1
1602,1-3 years,2020,41-50,female,master's degree,below average,10-30%,long,above normal,0
1603,1-3 years,2020,41-50,female,master's degree,below average,31-50%,short,below normal,0
1604,1-3 years,2020,41-50,female,master's degree,below average,31-50%,short,normal,1
1605,1-3 years,2020,41-50,female,master's degree,below average,31-50%,short,above normal,0
1606,1-3 years,2020,41-50,female,master's degree,below average,31-50%,medium,below normal,0
1607,1-3 years,2020,41-50,female,master's degree,below average,31-50%,medium,normal,1
1608,1-3 years,2020,41-50,female,master's degree,below average,31-50%,medium,above normal,0
1609,1-3 years,2020,41-50,female,master's degree,below average,31-50%,long,below normal,1
1610,1-3 years,2020,41-50,female,master's degree,below average,31-50%,long,normal,1
1611,1-3 years,2020,41-50,female,master's degree,below average,31-50%,long,above normal,0
1612,1-3 years,2020,41-50,female,master's degree,below average,51-70%,short,below normal,1
1613,1-3 years,2020,41-50,female,master's degree,below average,51-70%,short,normal,0
1614,1-3 years,2020,41-50,female,master's degree,below average,51-70%,short,above normal,0
1615,1-3 years,2020,41-50,female,master's degree,below average,51-70%,medium,below normal,1
1616,1-3 years,2020,41-50,female,master's degree,below average,51-70%,medium,normal,0
1617,1-3 years,2020,41-50,female,master's degree,below average,51-70%,medium,above normal,0
1618,1-3 years,2020,41-50,female,master's degree,below average,51-70%,long,below normal,0
1619,1-3 years,2020,41-50,female,master's degree,below average,51-70%,long,normal,0
1620,1-3 years,2020,41-50,female,master's degree,below average,51-70%,long,above normal,0
1621,5-10 years,2022,18-30,male,high school diploma,above average,10-30%,short,below normal,1
1622,5-10 years,2022,18-30,male,high school diploma,above average,10-30%,short,normal,1
1623,5-10 years,2022,18-30,male,high school diploma,above average,10-30%,short,above normal,1
1624,5-10 years,2022,18-30,male,high school diploma,above average,10-30%,medium,below normal,1
1625,5-10 years,2022,18-30,male,high school diploma,above average,10-30%,medium,normal,1
1626,5-10 years,2022,18-30,male,high school diploma,above average,10-30%,medium,above normal,1
1627,5-10 years,2022,18-30,male,high school diploma,above average,10-30%,long,below normal,1
1628,5-10 years,2022,18-30,male,high school diploma,above average,10-30%,long,normal,1
1629,5-10 years,2022,18-30,male,high school diploma,above average,10-30%,long,above normal,0
1630,5-10 years,2022,18-30,male,high school diploma,above average,31-50%,short,below normal,1
1631,5-10 years,2022,18-30,male,high school diploma,above average,31-50%,short,normal,1
1632,5-10 years,2022,18-30,male,high school diploma,above average,31-50%,short,above normal,0
1633,5-10 years,2022,18-30,male,high school diploma,above average,31-50%,medium,below normal,1
1634,5-10 years,2022,18-30,male,high school diploma,above average,31-50%,medium,normal,1
1635,5-10 years,2022,18-30,male,high school diploma,above average,31-50%,medium,above normal,0
1636,5-10 years,2022,18-30,male,high school diploma,above average,31-50%,long,below normal,1
1637,5-10 years,2022,18-30,male,high school diploma,above average,31-50%,long,normal,0
1638,5-10 years,2022,18-30,male,high school diploma,above average,31-50%,long,above normal,0
1639,5-10 years,2022,18-30,male,high school diploma,above average,51-70%,short,below normal,1
1640,5-10 years,2022,18-30,male,high school diploma,above average,51-70%,short,normal,1
1641,5-10 years,2022,18-30,male,high school diploma,above average,51-70%,short,above normal,0
1642,5-10 years,2022,18-30,male,high school diploma,above average,51-70%,medium,below normal,1
1643,5-10 years,2022,18-30,male,high school diploma,above average,51-70%,medium,normal,0
1644,5-10 years,2022,18-30,male,high school diploma,above average,51-70%,medium,above normal,0
1645,5-10 years,2022,18-30,male,high school diploma,above average,51-70%,long,below normal,0
1646,5-10 years,2022,18-30,male,high school diploma,above average,51-70%,long,normal,0
1647,5-10 years,2022,18-30,male,high school diploma,above average,51-70%,long,above normal,0
1648,1-3 years,2015,41-50,male,bachelor's degree,below average,10-30%,short,below normal,1
1649,1-3 years,2015,41-50,male,bachelor's degree,below average,10-30%,short,normal,1
1650,1-3 years,2015,41-50,male,bachelor's degree,below average,10-30%,short,above normal,0
1651,1-3 years,2015,41-50,male,bachelor's degree,below average,10-30%,medium,below normal,1
1652,1-3 years,2015,41-50,male,bachelor's degree,below average,10-30%,medium,normal,0
1653,1-3 years,2015,41-50,male,bachelor's degree,below average,10-30%,medium,above normal,0
1654,1-3 years,2015,41-50,male,bachelor's degree,below average,10-30%,long,below normal,0
1655,1-3 years,2015,41-50,male,bachelor's degree,below average,10-30%,long,normal,0
1656,1-3 years,2015,41-50,male,bachelor's degree,below average,10-30%,long,above normal,0
1657,1-3 years,2015,41-50,male,bachelor's degree,below average,31-50%,short,below normal,1
