,driving exp,since when are you using electric vehicles?,age,gender,education,income,SoC,queuing time,charging fee
725,5-10 years,2018,41-50,male,bachelor's degree,average,,,
726,5-10 years,2018,41-50,male,bachelor's degree,average,,,
727,5-10 years,2018,41-50,male,bachelor's degree,average,,,
728,5-10 years,2018,41-50,male,bachelor's degree,average,,,
729,5-10 years,2018,41-50,male,bachelor's degree,average,,,
730,more than 10 years,2020,31-40,female,master's degree,average,,,
731,more than 10 years,2020,31-40,female,master's degree,average,,,
732,more than 10 years,2020,31-40,female,master's degree,average,,,
733,more than 10 years,2020,31-40,female,master's degree,average,,,
734,more than 10 years,2020,31-40,female,master's degree,average,,,
735,more than 10 years,2020,31-40,female,master's degree,average,,,
736,more than 10 years,2020,31-40,female,master's degree,average,,,
737,more than 10 years,2020,31-40,female,master's degree,average,,,
738,more than 10 years,2020,31-40,female,master's degree,average,,,
739,more than 10 years,2020,31-40,female,master's degree,average,,,
740,more than 10 years,2020,31-40,female,master's degree,average,,,
741,more than 10 years,2020,31-40,female,master's degree,average,,,
742,more than 10 years,2020,31-40,female,master's degree,average,,,
743,more than 10 years,2020,31-40,female,master's degree,average,,,
744,more than 10 years,2020,31-40,female,master's degree,average,,,
745,more than 10 years,2020,31-40,female,master's degree,average,,,
746,more than 10 years,2020,31-40,female,master's degree,average,,,
747,more than 10 years,2020,31-40,female,master's degree,average,,,
748,more than 10 years,2020,31-40,female,master's degree,average,,,
749,more than 10 years,2020,31-40,female,master's degree,average,,,
750,more than 10 years,2020,31-40,female,master's degree,average,,,
751,more than 10 years,2020,31-40,female,master's degree,average,,,
752,more than 10 years,2020,31-40,female,master's degree,average,,,
753,more than 10 years,2020,31-40,female,master's degree,average,,,
754,more than 10 years,2020,31-40,female,master's degree,average,,,
755,more than 10 years,2020,31-40,female,master's degree,average,,,
756,more than 10 years,2020,31-40,female,master's degree,average,,,
757,less than a year,2016,above 60,male,bachelor's degree,average,,,
758,less than a year,2016,above 60,male,bachelor's degree,average,,,
759,less than a year,2016,above 60,male,bachelor's degree,average,,,
760,less than a year,2016,above 60,male,bachelor's degree,average,,,
761,less than a year,2016,above 60,male,bachelor's degree,average,,,
762,less than a year,2016,above 60,male,bachelor's degree,average,,,
763,less than a year,2016,above 60,male,bachelor's degree,average,,,
764,less than a year,2016,above 60,male,bachelor's degree,average,,,
765,less than a year,2016,above 60,male,bachelor's degree,average,,,
766,less than a year,2016,above 60,male,bachelor's degree,average,,,
767,less than a year,2016,above 60,male,bachelor's degree,average,,,
768,less than a year,2016,above 60,male,bachelor's degree,average,,,
769,less than a year,2016,above 60,male,bachelor's degree,average,,,
770,less than a year,2016,above 60,male,bachelor's degree,average,,,
771,less than a year,2016,above 60,male,bachelor's degree,average,,,
772,less than a year,2016,above 60,male,bachelor's degree,average,,,
773,less than a year,2016,above 60,male,bachelor's degree,average,,,
774,less than a year,2016,above 60,male,bachelor's degree,average,,,
775,less than a year,2016,above 60,male,bachelor's degree,average,,,
776,less than a year,2016,above 60,male,bachelor's degree,average,,,
777,less than a year,2016,above 60,male,bachelor's degree,average,,,
778,less than a year,2016,above 60,male,bachelor's degree,average,,,
779,less than a year,2016,above 60,male,bachelor's degree,average,,,
780,less than a year,2016,above 60,male,bachelor's degree,average,,,
781,less than a year,2016,above 60,male,bachelor's degree,average,,,
782,less than a year,2016,above 60,male,bachelor's degree,average,,,
783,less than a year,2016,above 60,male,bachelor's degree,average,,,
784,3-5 years,2018,above 60,male,master's degree,below average,,,
785,3-5 years,2018,above 60,male,master's degree,below average,,,
786,3-5 years,2018,above 60,male,master's degree,below average,,,
787,3-5 years,2018,above 60,male,master's degree,below average,,,
788,3-5 years,2018,above 60,male,master's degree,below average,,,
789,3-5 years,2018,above 60,male,master's degree,below average,,,
790,3-5 years,2018,above 60,male,master's degree,below average,,,
791,3-5 years,2018,above 60,male,master's degree,below average,,,
792,3-5 years,2018,above 60,male,master's degree,below average,,,
793,3-5 years,2018,above 60,male,master's degree,below average,,,
794,3-5 years,2018,above 60,male,master's degree,below average,,,
795,3-5 years,2018,above 60,male,master's degree,below average,,,
796,3-5 years,2018,above 60,male,master's degree,below average,,,
797,3-5 years,2018,above 60,male,master's degree,below average,,,
798,3-5 years,2018,above 60,male,master's degree,below average,,,
799,3-5 years,2018,above 60,male,master's degree,below average,,,
800,3-5 years,2018,above 60,male,master's degree,below average,,,
801,3-5 years,2018,above 60,male,master's degree,below average,,,
802,3-5 years,2018,above 60,male,master's degree,below average,,,
803,3-5 years,2018,above 60,male,master's degree,below average,,,
804,3-5 years,2018,above 60,male,master's degree,below average,,,
805,3-5 years,2018,above 60,male,master's degree,below average,,,
806,3-5 years,2018,above 60,male,master's degree,below average,,,
807,3-5 years,2018,above 60,male,master's degree,below average,,,
808,3-5 years,2018,above 60,male,master's degree,below average,,,
809,3-5 years,2018,above 60,male,master's degree,below average,,,
810,3-5 years,2018,above 60,male,master's degree,below average,,,
811,5-10 years,2021,18-30,female,master's degree,average,,,
812,5-10 years,2021,18-30,female,master's degree,average,,,
813,5-10 years,2021,18-30,female,master's degree,average,,,
814,5-10 years,2021,18-30,female,master's degree,average,,,
815,5-10 years,2021,18-30,female,master's degree,average,,,
816,5-10 years,2021,18-30,female,master's degree,average,,,
817,5-10 years,2021,18-30,female,master's degree,average,,,
818,5-10 years,2021,18-30,female,master's degree,average,,,
819,5-10 years,2021,18-30,female,master's degree,average,,,
820,5-10 years,2021,18-30,female,master's degree,average,,,
821,5-10 years,2021,18-30,female,master's degree,average,,,
822,5-10 years,2021,18-30,female,master's degree,average,,,
823,5-10 years,2021,18-30,female,master's degree,average,,,
824,5-10 years,2021,18-30,female,master's degree,average,,,
825,5-10 years,2021,18-30,female,master's degree,average,,,
826,5-10 years,2021,18-30,female,master's degree,average,,,
827,5-10 years,2021,18-30,female,master's degree,average,,,
828,5-10 years,2021,18-30,female,master's degree,average,,,
829,5-10 years,2021,18-30,female,master's degree,average,,,
830,5-10 years,2021,18-30,female,master's degree,average,,,
831,5-10 years,2021,18-30,female,master's degree,average,,,
832,5-10 years,2021,18-30,female,master's degree,average,,,
833,5-10 years,2021,18-30,female,master's degree,average,,,
834,5-10 years,2021,18-30,female,master's degree,average,,,
835,5-10 years,2021,18-30,female,master's degree,average,,,
836,5-10 years,2021,18-30,female,master's degree,average,,,
837,5-10 years,2021,18-30,female,master's degree,average,,,
838,1-3 years,2020,18-30,male,master's degree,average,,,
839,1-3 years,2020,18-30,male,master's degree,average,,,
840,1-3 years,2020,18-30,male,master's degree,average,,,
841,1-3 years,2020,18-30,male,master's degree,average,,,
842,1-3 years,2020,18-30,male,master's degree,average,,,
843,1-3 years,2020,18-30,male,master's degree,average,,,
844,1-3 years,2020,18-30,male,master's degree,average,,,
845,1-3 years,2020,18-30,male,master's degree,average,,,
846,1-3 years,2020,18-30,male,master's degree,average,,,
847,1-3 years,2020,18-30,male,master's degree,average,,,
848,1-3 years,2020,18-30,male,master's degree,average,,,
849,1-3 years,2020,18-30,male,master's degree,average,,,
850,1-3 years,2020,18-30,male,master's degree,average,,,
851,1-3 years,2020,18-30,male,master's degree,average,,,
852,1-3 years,2020,18-30,male,master's degree,average,,,
853,1-3 years,2020,18-30,male,master's degree,average,,,
854,1-3 years,2020,18-30,male,master's degree,average,,,
855,1-3 years,2020,18-30,male,master's degree,average,,,
856,1-3 years,2020,18-30,male,master's degree,average,,,
857,1-3 years,2020,18-30,male,master's degree,average,,,
858,1-3 years,2020,18-30,male,master's degree,average,,,
859,1-3 years,2020,18-30,male,master's degree,average,,,
860,1-3 years,2020,18-30,male,master's degree,average,,,
861,1-3 years,2020,18-30,male,master's degree,average,,,
862,1-3 years,2020,18-30,male,master's degree,average,,,
863,1-3 years,2020,18-30,male,master's degree,average,,,
864,1-3 years,2020,18-30,male,master's degree,average,,,
865,1-3 years,2022,41-50,male,master's degree,average,,,
866,1-3 years,2022,41-50,male,master's degree,average,,,
867,1-3 years,2022,41-50,male,master's degree,average,,,
868,1-3 years,2022,41-50,male,master's degree,average,,,
869,1-3 years,2022,41-50,male,master's degree,average,,,
870,1-3 years,2022,41-50,male,master's degree,average,,,
871,1-3 years,2022,41-50,male,master's degree,average,,,
872,1-3 years,2022,41-50,male,master's degree,average,,,
873,1-3 years,2022,41-50,male,master's degree,average,,,
874,1-3 years,2022,41-50,male,master's degree,average,,,
875,1-3 years,2022,41-50,male,master's degree,average,,,
876,1-3 years,2022,41-50,male,master's degree,average,,,
877,1-3 years,2022,41-50,male,master's degree,average,,,
878,1-3 years,2022,41-50,male,master's degree,average,,,
879,1-3 years,2022,41-50,male,master's degree,average,,,
880,1-3 years,2022,41-50,male,master's degree,average,,,
881,1-3 years,2022,41-50,male,master's degree,average,,,
882,1-3 years,2022,41-50,male,master's degree,average,,,
883,1-3 years,2022,41-50,male,master's degree,average,,,
884,1-3 years,2022,41-50,male,master's degree,average,,,
885,1-3 years,2022,41-50,male,master's degree,average,,,
886,1-3 years,2022,41-50,male,master's degree,average,,,
887,1-3 years,2022,41-50,male,master's degree,average,,,
888,1-3 years,2022,41-50,male,master's degree,average,,,
889,1-3 years,2022,41-50,male,master's degree,average,,,
890,1-3 years,2022,41-50,male,master's degree,average,,,
891,1-3 years,2022,41-50,male,master's degree,average,,,
892,3-5 years,2019,18-30,male,high school diploma,average,,,
893,3-5 years,2019,18-30,male,high school diploma,average,,,
894,3-5 years,2019,18-30,male,high school diploma,average,,,
895,3-5 years,2019,18-30,male,high school diploma,average,,,
896,3-5 years,2019,18-30,male,high school diploma,average,,,
897,3-5 years,2019,18-30,male,high school diploma,average,,,
898,3-5 years,2019,18-30,male,high school diploma,average,,,
899,3-5 years,2019,18-30,male,high school diploma,average,,,
900,3-5 years,2019,18-30,male,high school diploma,average,,,
901,3-5 years,2019,18-30,male,high school diploma,average,,,
902,3-5 years,2019,18-30,male,high school diploma,average,,,
903,3-5 years,2019,18-30,male,high school diploma,average,,,
904,3-5 years,2019,18-30,male,high school diploma,average,,,
905,3-5 years,2019,18-30,male,high school diploma,average,,,
906,3-5 years,2019,18-30,male,high school diploma,average,,,
907,3-5 years,2019,18-30,male,high school diploma,average,,,
908,3-5 years,2019,18-30,male,high school diploma,average,,,
909,3-5 years,2019,18-30,male,high school diploma,average,,,
910,3-5 years,2019,18-30,male,high school diploma,average,,,
911,3-5 years,2019,18-30,male,high school diploma,average,,,
912,3-5 years,2019,18-30,male,high school diploma,average,,,
913,3-5 years,2019,18-30,male,high school diploma,average,,,
914,3-5 years,2019,18-30,male,high school diploma,average,,,
915,3-5 years,2019,18-30,male,high school diploma,average,,,
916,3-5 years,2019,18-30,male,high school diploma,average,,,
917,3-5 years,2019,18-30,male,high school diploma,average,,,
918,3-5 years,2019,18-30,male,high school diploma,average,,,
919,less than a year,2016,50-60,male,doctoral degree,above average,10-30%,0,below normal
920,less than a year,2016,50-60,male,doctoral degree,above average,10-30%,0,normal
921,less than a year,2016,50-60,male,doctoral degree,above average,10-30%,0,above normal
922,less than a year,2016,50-60,male,doctoral degree,above average,10-30%,15,below normal
923,less than a year,2016,50-60,male,doctoral degree,above average,10-30%,15,normal
924,less than a year,2016,50-60,male,doctoral degree,above average,10-30%,15,above normal
925,less than a year,2016,50-60,male,doctoral degree,above average,10-30%,30,below normal
926,less than a year,2016,50-60,male,doctoral degree,above average,10-30%,30,normal
927,less than a year,2016,50-60,male,doctoral degree,above average,10-30%,30,above normal
928,less than a year,2016,50-60,male,doctoral degree,above average,31-50%,0,below normal
929,less than a year,2016,50-60,male,doctoral degree,above average,31-50%,0,normal
930,less than a year,2016,50-60,male,doctoral degree,above average,31-50%,0,above normal
931,less than a year,2016,50-60,male,doctoral degree,above average,31-50%,15,below normal
932,less than a year,2016,50-60,male,doctoral degree,above average,31-50%,15,normal
933,less than a year,2016,50-60,male,doctoral degree,above average,31-50%,15,above normal
934,less than a year,2016,50-60,male,doctoral degree,above average,31-50%,30,below normal
935,less than a year,2016,50-60,male,doctoral degree,above average,31-50%,30,normal
936,less than a year,2016,50-60,male,doctoral degree,above average,31-50%,30,above normal
937,less than a year,2016,50-60,male,doctoral degree,above average,51-70%,0,below normal
938,less than a year,2016,50-60,male,doctoral degree,above average,51-70%,0,normal
939,less than a year,2016,50-60,male,doctoral degree,above average,51-70%,0,above normal
940,less than a year,2016,50-60,male,doctoral degree,above average,51-70%,15,below normal
941,less than a year,2016,50-60,male,doctoral degree,above average,51-70%,15,normal
942,less than a year,2016,50-60,male,doctoral degree,above average,51-70%,15,above normal
943,less than a year,2016,50-60,male,doctoral degree,above average,51-70%,30,below normal
944,less than a year,2016,50-60,male,doctoral degree,above average,51-70%,30,normal
945,less than a year,2016,50-60,male,doctoral degree,above average,51-70%,30,above normal
946,3-5 years,2021,50-60,female,doctoral degree,below average,10-30%,0,below normal
947,3-5 years,2021,50-60,female,doctoral degree,below average,10-30%,0,normal
948,3-5 years,2021,50-60,female,doctoral degree,below average,10-30%,0,above normal
949,3-5 years,2021,50-60,female,doctoral degree,below average,10-30%,15,below normal
950,3-5 years,2021,50-60,female,doctoral degree,below average,10-30%,15,normal
951,3-5 years,2021,50-60,female,doctoral degree,below average,10-30%,15,above normal
952,3-5 years,2021,50-60,female,doctoral degree,below average,10-30%,30,below normal
953,3-5 years,2021,50-60,female,doctoral degree,below average,10-30%,30,normal
954,3-5 years,2021,50-60,female,doctoral degree,below average,10-30%,30,above normal
955,3-5 years,2021,50-60,female,doctoral degree,below average,31-50%,0,below normal
956,3-5 years,2021,50-60,female,doctoral degree,below average,31-50%,0,normal
957,3-5 years,2021,50-60,female,doctoral degree,below average,31-50%,0,above normal
958,3-5 years,2021,50-60,female,doctoral degree,below average,31-50%,15,below normal
959,3-5 years,2021,50-60,female,doctoral degree,below average,31-50%,15,normal
960,3-5 years,2021,50-60,female,doctoral degree,below average,31-50%,15,above normal
961,3-5 years,2021,50-60,female,doctoral degree,below average,31-50%,30,below normal
962,3-5 years,2021,50-60,female,doctoral degree,below average,31-50%,30,normal
963,3-5 years,2021,50-60,female,doctoral degree,below average,31-50%,30,above normal
964,3-5 years,2021,50-60,female,doctoral degree,below average,51-70%,0,below normal
965,3-5 years,2021,50-60,female,doctoral degree,below average,51-70%,0,normal
966,3-5 years,2021,50-60,female,doctoral degree,below average,51-70%,0,above normal
967,3-5 years,2021,50-60,female,doctoral degree,below average,51-70%,15,below normal
968,3-5 years,2021,50-60,female,doctoral degree,below average,51-70%,15,normal
969,3-5 years,2021,50-60,female,doctoral degree,below average,51-70%,15,above normal
970,3-5 years,2021,50-60,female,doctoral degree,below average,51-70%,30,below normal
971,3-5 years,2021,50-60,female,doctoral degree,below average,51-70%,30,normal
972,3-5 years,2021,50-60,female,doctoral degree,below average,51-70%,30,above normal
973,5-10 years,2019,above 60,male,bachelor's degree,average,,,
974,5-10 years,2019,above 60,male,bachelor's degree,average,,,
975,5-10 years,2019,above 60,male,bachelor's degree,average,,,
976,5-10 years,2019,above 60,male,bachelor's degree,average,,,
977,5-10 years,2019,above 60,male,bachelor's degree,average,,,
978,5-10 years,2019,above 60,male,bachelor's degree,average,,,
979,5-10 years,2019,above 60,male,bachelor's degree,average,,,
980,5-10 years,2019,above 60,male,bachelor's degree,average,,,
981,5-10 years,2019,above 60,male,bachelor's degree,average,,,
982,5-10 years,2019,above 60,male,bachelor's degree,average,,,
983,5-10 years,2019,above 60,male,bachelor's degree,average,,,
984,5-10 years,2019,above 60,male,bachelor's degree,average,,,
985,5-10 years,2019,above 60,male,bachelor's degree,average,,,
986,5-10 years,2019,above 60,male,bachelor's degree,average,,,
987,5-10 years,2019,above 60,male,bachelor's degree,average,,,
988,5-10 years,2019,above 60,male,bachelor's degree,average,,,
989,5-10 years,2019,above 60,male,bachelor's degree,average,,,
990,5-10 years,2019,above 60,male,bachelor's degree,average,,,
991,5-10 years,2019,above 60,male,bachelor's degree,average,,,
992,5-10 years,2019,above 60,male,bachelor's degree,average,,,
993,5-10 years,2019,above 60,male,bachelor's degree,average,,,
994,5-10 years,2019,above 60,male,bachelor's degree,average,,,
995,5-10 years,2019,above 60,male,bachelor's degree,average,,,
996,5-10 years,2019,above 60,male,bachelor's degree,average,,,
997,5-10 years,2019,above 60,male,bachelor's degree,average,,,
998,5-10 years,2019,above 60,male,bachelor's degree,average,,,
999,5-10 years,2019,above 60,male,bachelor's degree,average,,,
1000,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1001,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1002,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1003,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1004,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1005,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1006,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1007,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1008,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1009,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1010,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1011,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1012,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1013,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1014,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1015,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1016,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1017,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1018,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1019,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1020,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1021,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1022,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1023,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1024,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1025,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1026,more than 10 years,2022,18-30,male,bachelor's degree,average,,,
1027,less than a year,2019,50-60,male,below high school diploma,below average,,,
1028,less than a year,2019,50-60,male,below high school diploma,below average,,,
1029,less than a year,2019,50-60,male,below high school diploma,below average,,,
1030,less than a year,2019,50-60,male,below high school diploma,below average,,,
1031,less than a year,2019,50-60,male,below high school diploma,below average,,,
1032,less than a year,2019,50-60,male,below high school diploma,below average,,,
1033,less than a year,2019,50-60,male,below high school diploma,below average,,,
1034,less than a year,2019,50-60,male,below high school diploma,below average,,,
1035,less than a year,2019,50-60,male,below high school diploma,below average,,,
1036,less than a year,2019,50-60,male,below high school diploma,below average,,,
1037,less than a year,2019,50-60,male,below high school diploma,below average,,,
1038,less than a year,2019,50-60,male,below high school diploma,below average,,,
1039,less than a year,2019,50-60,male,below high school diploma,below average,,,
1040,less than a year,2019,50-60,male,below high school diploma,below average,,,
1041,less than a year,2019,50-60,male,below high school diploma,below average,,,
1042,less than a year,2019,50-60,male,below high school diploma,below average,,,
1043,less than a year,2019,50-60,male,below high school diploma,below average,,,
1044,less than a year,2019,50-60,male,below high school diploma,below average,,,
1045,less than a year,2019,50-60,male,below high school diploma,below average,,,
1046,less than a year,2019,50-60,male,below high school diploma,below average,,,
1047,less than a year,2019,50-60,male,below high school diploma,below average,,,
1048,less than a year,2019,50-60,male,below high school diploma,below average,,,
1049,less than a year,2019,50-60,male,below high school diploma,below average,,,
1050,less than a year,2019,50-60,male,below high school diploma,below average,,,
1051,less than a year,2019,50-60,male,below high school diploma,below average,,,
1052,less than a year,2019,50-60,male,below high school diploma,below average,,,
1053,less than a year,2019,50-60,male,below high school diploma,below average,,,
1054,less than a year,2019,18-30,male,master's degree,average,,,
1055,less than a year,2019,18-30,male,master's degree,average,,,
1056,less than a year,2019,18-30,male,master's degree,average,,,
1057,less than a year,2019,18-30,male,master's degree,average,,,
1058,less than a year,2019,18-30,male,master's degree,average,,,
1059,less than a year,2019,18-30,male,master's degree,average,,,
1060,less than a year,2019,18-30,male,master's degree,average,,,
1061,less than a year,2019,18-30,male,master's degree,average,,,
1062,less than a year,2019,18-30,male,master's degree,average,,,
1063,less than a year,2019,18-30,male,master's degree,average,,,
1064,less than a year,2019,18-30,male,master's degree,average,,,
1065,less than a year,2019,18-30,male,master's degree,average,,,
1066,less than a year,2019,18-30,male,master's degree,average,,,
1067,less than a year,2019,18-30,male,master's degree,average,,,
1068,less than a year,2019,18-30,male,master's degree,average,,,
1069,less than a year,2019,18-30,male,master's degree,average,,,
1070,less than a year,2019,18-30,male,master's degree,average,,,
1071,less than a year,2019,18-30,male,master's degree,average,,,
1072,less than a year,2019,18-30,male,master's degree,average,,,
1073,less than a year,2019,18-30,male,master's degree,average,,,
1074,less than a year,2019,18-30,male,master's degree,average,,,
1075,less than a year,2019,18-30,male,master's degree,average,,,
1076,less than a year,2019,18-30,male,master's degree,average,,,
1077,less than a year,2019,18-30,male,master's degree,average,,,
1078,less than a year,2019,18-30,male,master's degree,average,,,
1079,less than a year,2019,18-30,male,master's degree,average,,,
1080,less than a year,2019,18-30,male,master's degree,average,,,
1081,1-3 years,2022,above 60,female,master's degree,below average,,,
1082,1-3 years,2022,above 60,female,master's degree,below average,,,
1083,1-3 years,2022,above 60,female,master's degree,below average,,,
1084,1-3 years,2022,above 60,female,master's degree,below average,,,
1085,1-3 years,2022,above 60,female,master's degree,below average,,,
1086,1-3 years,2022,above 60,female,master's degree,below average,,,
1087,1-3 years,2022,above 60,female,master's degree,below average,,,
1088,1-3 years,2022,above 60,female,master's degree,below average,,,
1089,1-3 years,2022,above 60,female,master's degree,below average,,,
1090,1-3 years,2022,above 60,female,master's degree,below average,,,
1091,1-3 years,2022,above 60,female,master's degree,below average,,,
1092,1-3 years,2022,above 60,female,master's degree,below average,,,
1093,1-3 years,2022,above 60,female,master's degree,below average,,,
1094,1-3 years,2022,above 60,female,master's degree,below average,,,
1095,1-3 years,2022,above 60,female,master's degree,below average,,,
1096,1-3 years,2022,above 60,female,master's degree,below average,,,
1097,1-3 years,2022,above 60,female,master's degree,below average,,,
1098,1-3 years,2022,above 60,female,master's degree,below average,,,
1099,1-3 years,2022,above 60,female,master's degree,below average,,,
1100,1-3 years,2022,above 60,female,master's degree,below average,,,
1101,1-3 years,2022,above 60,female,master's degree,below average,,,
1102,1-3 years,2022,above 60,female,master's degree,below average,,,
1103,1-3 years,2022,above 60,female,master's degree,below average,,,
1104,1-3 years,2022,above 60,female,master's degree,below average,,,
1105,1-3 years,2022,above 60,female,master's degree,below average,,,
1106,1-3 years,2022,above 60,female,master's degree,below average,,,
1107,1-3 years,2022,above 60,female,master's degree,below average,,,
1108,less than a year,2022,18-30,male,doctoral degree,average,10-30%,0,below normal
1109,less than a year,2022,18-30,male,doctoral degree,average,10-30%,0,normal
1110,less than a year,2022,18-30,male,doctoral degree,average,10-30%,0,above normal
1111,less than a year,2022,18-30,male,doctoral degree,average,10-30%,15,below normal
1112,less than a year,2022,18-30,male,doctoral degree,average,10-30%,15,normal
1113,less than a year,2022,18-30,male,doctoral degree,average,10-30%,15,above normal
1114,less than a year,2022,18-30,male,doctoral degree,average,10-30%,30,below normal
1115,less than a year,2022,18-30,male,doctoral degree,average,10-30%,30,normal
1116,less than a year,2022,18-30,male,doctoral degree,average,10-30%,30,above normal
1117,less than a year,2022,18-30,male,doctoral degree,average,31-50%,0,below normal
1118,less than a year,2022,18-30,male,doctoral degree,average,31-50%,0,normal
1119,less than a year,2022,18-30,male,doctoral degree,average,31-50%,0,above normal
1120,less than a year,2022,18-30,male,doctoral degree,average,31-50%,15,below normal
1121,less than a year,2022,18-30,male,doctoral degree,average,31-50%,15,normal
1122,less than a year,2022,18-30,male,doctoral degree,average,31-50%,15,above normal
1123,less than a year,2022,18-30,male,doctoral degree,average,31-50%,30,below normal
1124,less than a year,2022,18-30,male,doctoral degree,average,31-50%,30,normal
1125,less than a year,2022,18-30,male,doctoral degree,average,31-50%,30,above normal
1126,less than a year,2022,18-30,male,doctoral degree,average,51-70%,0,below normal
1127,less than a year,2022,18-30,male,doctoral degree,average,51-70%,0,normal
1128,less than a year,2022,18-30,male,doctoral degree,average,51-70%,0,above normal
1129,less than a year,2022,18-30,male,doctoral degree,average,51-70%,15,below normal
1130,less than a year,2022,18-30,male,doctoral degree,average,51-70%,15,normal
1131,less than a year,2022,18-30,male,doctoral degree,average,51-70%,15,above normal
1132,less than a year,2022,18-30,male,doctoral degree,average,51-70%,30,below normal
1133,less than a year,2022,18-30,male,doctoral degree,average,51-70%,30,normal
1134,less than a year,2022,18-30,male,doctoral degree,average,51-70%,30,above normal
1135,5-10 years,2017,above 60,male,master's degree,average,,,
1136,5-10 years,2017,above 60,male,master's degree,average,,,
1137,5-10 years,2017,above 60,male,master's degree,average,,,
1138,5-10 years,2017,above 60,male,master's degree,average,,,
1139,5-10 years,2017,above 60,male,master's degree,average,,,
1140,5-10 years,2017,above 60,male,master's degree,average,,,
1141,5-10 years,2017,above 60,male,master's degree,average,,,
1142,5-10 years,2017,above 60,male,master's degree,average,,,
1143,5-10 years,2017,above 60,male,master's degree,average,,,
1144,5-10 years,2017,above 60,male,master's degree,average,,,
1145,5-10 years,2017,above 60,male,master's degree,average,,,
1146,5-10 years,2017,above 60,male,master's degree,average,,,
1147,5-10 years,2017,above 60,male,master's degree,average,,,
1148,5-10 years,2017,above 60,male,master's degree,average,,,
1149,5-10 years,2017,above 60,male,master's degree,average,,,
1150,5-10 years,2017,above 60,male,master's degree,average,,,
1151,5-10 years,2017,above 60,male,master's degree,average,,,
1152,5-10 years,2017,above 60,male,master's degree,average,,,
1153,5-10 years,2017,above 60,male,master's degree,average,,,
1154,5-10 years,2017,above 60,male,master's degree,average,,,
1155,5-10 years,2017,above 60,male,master's degree,average,,,
1156,5-10 years,2017,above 60,male,master's degree,average,,,
1157,5-10 years,2017,above 60,male,master's degree,average,,,
1158,5-10 years,2017,above 60,male,master's degree,average,,,
1159,5-10 years,2017,above 60,male,master's degree,average,,,
1160,5-10 years,2017,above 60,male,master's degree,average,,,
1161,5-10 years,2017,above 60,male,master's degree,average,,,
1162,3-5 years,2019,above 60,female,master's degree,below average,,,
1163,3-5 years,2019,above 60,female,master's degree,below average,,,
1164,3-5 years,2019,above 60,female,master's degree,below average,,,
1165,3-5 years,2019,above 60,female,master's degree,below average,,,
1166,3-5 years,2019,above 60,female,master's degree,below average,,,
1167,3-5 years,2019,above 60,female,master's degree,below average,,,
1168,3-5 years,2019,above 60,female,master's degree,below average,,,
1169,3-5 years,2019,above 60,female,master's degree,below average,,,
1170,3-5 years,2019,above 60,female,master's degree,below average,,,
1171,3-5 years,2019,above 60,female,master's degree,below average,,,
1172,3-5 years,2019,above 60,female,master's degree,below average,,,
1173,3-5 years,2019,above 60,female,master's degree,below average,,,
1174,3-5 years,2019,above 60,female,master's degree,below average,,,
1175,3-5 years,2019,above 60,female,master's degree,below average,,,
1176,3-5 years,2019,above 60,female,master's degree,below average,,,
1177,3-5 years,2019,above 60,female,master's degree,below average,,,
1178,3-5 years,2019,above 60,female,master's degree,below average,,,
1179,3-5 years,2019,above 60,female,master's degree,below average,,,
1180,3-5 years,2019,above 60,female,master's degree,below average,,,
1181,3-5 years,2019,above 60,female,master's degree,below average,,,
1182,3-5 years,2019,above 60,female,master's degree,below average,,,
1183,3-5 years,2019,above 60,female,master's degree,below average,,,
1184,3-5 years,2019,above 60,female,master's degree,below average,,,
1185,3-5 years,2019,above 60,female,master's degree,below average,,,
1186,3-5 years,2019,above 60,female,master's degree,below average,,,
1187,3-5 years,2019,above 60,female,master's degree,below average,,,
1188,3-5 years,2019,above 60,female,master's degree,below average,,,
1189,5-10 years,2019,18-30,female,below high school diploma,below average,,,
